date,title,url,cves_count,pdfs,fetched_at
2026-03-04,VulnÃ©rabilitÃ© critique dans le plugin WP Â« All-in-One Microsoft 365 & Entra ID / Azure AD SSO Login Â»,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-le-plugin-wp-all-one-microsoft-365-entra-id-azure-ad-sso,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilite-critique-dans-le-plugin-WP-All-in-One-Microsoft-365---Entra-ID-Azure-AD-SSO-Login.pdf,2026-03-04T12:35:52Z
2026-03-04,VulnÃ©rabilitÃ©s critiques dans les produits Qualcomm,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-les-produits-qualcomm-1,15,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-critiques-dans-les-produits-Qualcomm.pdf,2026-03-04T12:35:53Z
2026-03-04,VulnÃ©rabilitÃ© critique dans HPE AutoPass License Server,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-hpe-autopass-license-server,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilite-critique-dans-HPE-AutoPass-License-Server.pdf,2026-03-04T12:35:53Z
2026-03-03,VulnÃ©rabilitÃ©s affectant le noyau de RedHat,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-noyau-de-redhat-3,16,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-affectant-le-noyau-de-Redhat_0.pdf,2026-03-04T12:35:53Z
2026-03-03,VulnÃ©rabilitÃ©s affectant le noyau de SUSE Linux,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-noyau-de-suse-linux-1,6,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-affectant-le-noyau-de-SUSE-Linux.pdf,2026-03-04T12:35:54Z
2026-03-03,VulnÃ©rabilitÃ©s affectant le noyau dâUbuntu,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-noyau-dubuntu-3,2,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-affectant-le-noyau-d-Ubuntu.pdf,2026-03-04T12:35:54Z
2026-03-03,VulnÃ©rabilitÃ©s affectant le systÃ¨me dâexploitation Android,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-systeme-dexploitation-android-13,65,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-affectant-le-systeme-d-exploitation-Android.pdf,2026-03-04T12:35:55Z
2026-03-03,VulnÃ©rabilitÃ©s critiques dans les produits Samsung,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-les-produits-samsung-1,72,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-critiques-dans-les-produits-Samsung.pdf,2026-03-04T12:35:55Z
2026-03-03,Malware Keenadu,https://www.dgssi.gov.ma/fr/bulletins/malware-keenadu,0,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Malware--Keenadu.pdf,2026-03-04T12:35:56Z
2026-03-02,VulnÃ©rabilitÃ©s dans les produits Elastic,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-elastic-2,9,https://dgssi.gov.ma/sites/default/files/bulletin/2026-03/Vulnerabilites-dans-les-produits-Elastic.pdf,2026-03-04T12:35:56Z
,VulnÃ©rabilitÃ©s affectant VMware Workstation et Fusion,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-vmware-workstation-et-fusion,3,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilites-affectant-VMware-Workstation-et-Fusion.pdf,2026-03-04T12:35:56Z
,VulnÃ©rabilitÃ©s affectant le navigateur Microsoft Edge,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-navigateur-microsoft-edge-9,3,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilites-affectant--le-navigateur--Microsoft-Edge.pdf,2026-03-04T12:35:57Z
,VulnÃ©rabilitÃ© critique dans OpenClaw,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-openclaw,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilite-critique-dans--OpenClaw.pdf,2026-03-04T12:35:58Z
,VulnÃ©rabilitÃ©s critiques affectant SolarWinds Serv-U,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-affectant-solarwinds-serv-u,4,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilites-critiques-affectant-SolarWinds-Serv-U.pdf,2026-03-04T12:35:58Z
,VulnÃ©rabilitÃ© critique dans Juniper Junos OS Evolved,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-dans-juniper-junos-os-evolved,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilite-critique-dans--Juniper-Junos-OS-Evolved.pdf,2026-03-04T12:35:58Z
,VulnÃ©rabilitÃ©s critiques affectant des produits Trend Micro,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-affectant-des-produits-trend-micro,10,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilites-critiques-affectant-des-produits-Trend-Micro.pdf,2026-03-04T12:35:59Z
,VulnÃ©rabilitÃ©s critiques dans N8N,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-n8n-1,6,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vulnerabilites-critiques-dans-N8N.pdf,2026-03-04T12:36:00Z
,VulnÃ©rabilitÃ©s critiques dans Cisco Catalyst SD-WAN,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-cisco-catalyst-sd-wan,6,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20Cisco%20Catalyst%20SD-WAN.pdf,2026-03-04T12:36:00Z
,VulnÃ©rabilitÃ©s dans GitLab,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-gitlab,9,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20dans%20GitLab_0.pdf,2026-03-04T12:36:01Z
,VulnÃ©rabilitÃ©s critiques dans ASUSTOR ADM,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-asustor-adm,2,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20ASUSTOR%20ADM.pdf,2026-03-04T12:36:01Z
,VulnÃ©rabilitÃ©s critiques activement exploitÃ©es affectant Ivanti Endpoint Manager Mobile,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-activement-exploitees-affectant-ivanti-endpoint-manager-mobile,2,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20critiques%20activement%20exploit%C3%A9e%20affectant%20Ivanti%20Endpoint%20Manager%20Mobile.pdf,2026-03-04T12:36:02Z
,VulnÃ©rabilitÃ©s affectant le client de messagerie Mozilla Thunderbird,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-client-de-messagerie-mozilla-thunderbird-13,50,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20affectant%20le%20client%20de%20messagerie%20Mozilla%20Thunderbird_1.pdf,2026-03-04T12:36:03Z
,VulnÃ©rabilitÃ©s affectant le navigateur Mozilla Firefox,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-navigateur-mozilla-firefox-21,51,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20affectant%20%20le%20navigateur%20Mozilla%20Firefox.pdf,2026-03-04T12:36:03Z
,VulnÃ©rabilitÃ©s dans les produits SonicWall,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-sonicwall-2,4,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20dans%20les%20produits%20SonicWall.pdf,2026-03-04T12:36:04Z
,VulnÃ©rabilitÃ©s dans les produits VMware,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-produits-vmware-9,621,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20dans%20les%20produits%20VMware_0.pdf,2026-03-04T12:36:04Z
,VulnÃ©rabilitÃ© dans Apache Camel,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-apache-camel,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20dans%20Apache%20Camel_0.pdf,2026-03-04T12:36:05Z
,VulnÃ©rabilitÃ© affectant Microsoft Teams,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-microsoft-teams,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20affectant%20Microsoft%20Teams_0.pdf,2026-03-04T12:36:06Z
,VulnÃ©rabilitÃ©s dans les Ã©quipements rÃ©seau ZyXEL,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-les-equipements-reseau-zyxel,7,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20dans%20les%20%C3%A9quipements%20r%C3%A9seau%20ZyXEL.pdf,2026-03-04T12:36:06Z
,VulnÃ©rabilitÃ©s critiques dans SolarWinds Serv-U,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-critiques-dans-solarwinds-serv-u-0,4,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20critiques%20dans%20SolarWinds%20Serv-U.pdf,2026-03-04T12:36:07Z
,Compromission de la chaÃ®ne d'approvisionnement du package npm Cline,https://www.dgssi.gov.ma/fr/bulletins/compromission-de-la-chaine-dapprovisionnement-du-package-npm-cline,0,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Compromission%20de%20la%20cha%C3%AEne%20d%27approvisionnement%20du%20package%20npm%20Cline.pdf,2026-03-04T12:36:07Z
,VulnÃ©rabilitÃ©s affectant le navigateur Google Chrome,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-le-navigateur-google-chrome-45,3,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20affectant%20%20le%20navigateur%20Google%20Chrome_1.pdf,2026-03-04T12:36:07Z
,VulnÃ©rabilitÃ©s affectant des produits Splunk,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-affectant-des-produits-splunk-1,30,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20affectant%20des%20%20produits%20Splunk.pdf,2026-03-04T12:36:08Z
,VulnÃ©rabilitÃ© affectant le CMS Ghost,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-le-cms-ghost,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20affectant%20le%20CMS%20Ghost.pdf,2026-03-04T12:36:08Z
,VulnÃ©rabilitÃ©s dans le CMS SPIP,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilites-dans-le-cms-spip,0,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9s%20dans%20le%20CMS%20SPIP.pdf,2026-03-04T12:36:09Z
,VulnÃ©rabilitÃ© dans F5 BIG-IP,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-dans-f5-big-ip,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20dans%20F5%20BIG-IP.pdf,2026-03-04T12:36:09Z
,VulnÃ©rabilitÃ© affectant Jenkins,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-affectant-jenkins,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20affectant%20Jenkins.pdf,2026-03-04T12:36:10Z
,VulnÃ©rabilitÃ© critique affectant les tÃ©lÃ©phones VoIP Grandstream GXP1600,https://www.dgssi.gov.ma/fr/bulletins/vulnerabilite-critique-affectant-les-telephones-voip-grandstream-gxp1600,1,https://dgssi.gov.ma/sites/default/files/bulletin/2026-02/Vuln%C3%A9rabilit%C3%A9%20critique%20affectant%20les%20t%C3%A9l%C3%A9phones%20VoIP%20Grandstream%20GXP1600.pdf | https://firmware.grandstream.com/Release_Note_GXP16xx_1.0.7.81.pdf,2026-03-04T12:36:11Z
